,Numero_de_Productos_Ordenados,ID,Lista_de_Volumenes_de_Productos,Volumen_Total
0,1,[17207],[0.67973333],0.67973333
1,1,[46277],[0.00035347],0.00035347
2,1,[17197],[0.007783],0.007783
3,1,[34560],[0.001617],0.001617
4,1,[17385],[0.00071],0.00071
5,1,[23292],[0.00642],0.00642
6,1,[34534],[1.276e-05],1.276e-05
7,1,[17154],[0.00015121],0.00015121
8,1,[17696],[5.6e-05],5.6e-05
9,1,[40681],[0.30598365],0.30598365
10,1,[46008],[0.03795953],0.03795953
11,1,[17717],[0.055],0.055
12,1,[47052],[0.008924],0.008924
13,1,[2465],[0.05145],0.05145
14,1,[17395],[0.0009568],0.0009568
15,1,[20361],[0.08],0.08
16,1,[35096],[0.0035158],0.0035158
17,1,[34299],[0.0009568],0.0009568
18,1,[23259],[0.21735],0.21735
19,1,[14511],[0.00094812],0.00094812
20,1,[17233],[0.00053478],0.00053478
21,1,[27071],[0.02],0.02
22,1,[46288],[0.00105],0.00105
23,1,[45544],[0.0015],0.0015
24,1,[25011],[0.18921641],0.18921641
25,1,[42629],[0.02254992],0.02254992
26,1,[23669],[0.061],0.061
27,1,[11737],[0.00642],0.00642
28,1,[34560],[0.001617],0.001617
29,1,[17165],[0.0009568],0.0009568
30,1,[34116],[0.001125],0.001125
31,1,[24335],[0.0001],0.0001
32,2,"[2346, 39482]","[0.000988, 0.013735]",0.014723
33,1,[34355],[0.7637],0.7637
34,1,[34742],[0.006729],0.006729
35,1,[41647],[0.0010862],0.0010862
36,1,[18368],[0.0035158],0.0035158
37,1,[34742],[0.006729],0.006729
38,1,[39960],[0.0503],0.0503
39,1,[39574],[0.040125],0.040125
40,1,[20750],[0.00066681],0.00066681
41,1,[34058],[0.0009568],0.0009568
42,1,[2489],[0.375984],0.375984
43,1,[20673],[0.214957],0.214957
44,1,[41461],[0.09],0.09
45,1,[17183],[0.000166],0.000166
46,1,[30222],[0.028782],0.028782
47,1,[29876],[0.0009568],0.0009568
48,1,[17101],[0.001],0.001
49,1,[34552],[0.00105],0.00105
50,1,[37749],[0.134097],0.134097
51,1,[23343],[0.0009568],0.0009568
52,1,[17387],[0.0001],0.0001
53,1,[20314],[0.002205],0.002205
54,1,[23248],[0.0018891],0.0018891
55,1,[21536],[0.006235],0.006235
56,2,"[24116, 43801]","[0.071824, 0.134097]",0.205921
57,1,[34369],[0.011231],0.011231
58,1,[46966],[0.00112],0.00112
59,1,[34028],[0.0263],0.0263
60,1,[35952],[0.001],0.001
61,1,[23624],[0.103],0.103
62,1,[2611],[0.00037816],0.00037816
63,1,[40998],[0.001],0.001
64,1,[36063],[0.79],0.79
65,1,[17244],[0.011129],0.011129
66,1,[17233],[0.00053478],0.00053478
67,1,[24337],[6.135e-05],6.135e-05
68,1,[16974],[0.00093183],0.00093183
69,1,[39839],[0.00054],0.00054
70,1,[34703],[0.0009539],0.0009539
71,3,"[20673, 16972, 44575]","[0.214957, 0.000603, 0.0009958]",0.2165558
72,1,[35500],[0.27],0.27
73,1,[40519],[0.06],0.06
74,1,[37591],[0.001],0.001
75,1,[48232],[0.00105],0.00105
76,1,[27321],[0.0009568],0.0009568
77,1,[47340],[0.0321],0.0321
78,1,[47681],[0.001125],0.001125
79,1,[41246],[0.001],0.001
80,1,[34321],[0.0009568],0.0009568
81,1,[17386],[0.021952],0.021952
82,1,[371],[0.07844938],0.07844938
83,1,[17482],[0.178748],0.178748
84,1,[2116],[0.001125],0.001125
85,1,[20458],[0.05301],0.05301
86,1,[17147],[0.52040364],0.52040364
87,1,[17259],[0.001125],0.001125
88,1,[34568],[0.54717],0.54717
89,1,[34296],[0.0009568],0.0009568
90,1,[29752],[0.002568],0.002568
91,1,[44291],[0.002554],0.002554
92,1,[19981],[0.03232226],0.03232226
93,1,[17439],[0.020912],0.020912
94,1,[47671],[0.001125],0.001125
95,2,"[40432, 17661]","[0.050449, 0.0009568]",0.0514058
96,1,[16972],[0.000603],0.000603
97,1,[12488],[0.000298],0.000298
98,1,[34321],[0.0009568],0.0009568
99,1,[26622],[0.01],0.01
100,1,[17154],[0.00015121],0.00015121
101,1,[34742],[0.006729],0.006729
102,1,[47355],[0.055245],0.055245
103,1,[37349],[0.10884],0.10884
104,1,[16944],[0.006235],0.006235
105,1,[48227],[0.002554],0.002554
106,1,[20672],[0.014321],0.014321
107,1,[46659],[0.00345244],0.00345244
108,1,[27321],[0.0009568],0.0009568
109,1,[17428],[0.30705],0.30705
110,1,[34369],[0.011231],0.011231
111,1,[48212],[0.0114272],0.0114272
112,1,[48296],[0.036828],0.036828
113,1,[2867],[0.00054],0.00054
114,1,[41916],[0.49558119],0.49558119
115,1,[12966],[0.001252],0.001252
116,1,[18367],[0.00642],0.00642
117,1,[34320],[0.178748],0.178748
118,1,[46817],[0.04576],0.04576
119,1,[34266],[0.24861992],0.24861992
120,1,[34331],[0.0702768],0.0702768
121,1,[40436],[0.000216],0.000216
122,1,[17093],[0.0009958],0.0009958
123,1,[34028],[0.0263],0.0263
124,1,[2705],[0.00061861],0.00061861
125,1,[38187],[0.10649221],0.10649221
126,1,[17512],[0.000611],0.000611
127,1,[43296],[0.001],0.001
128,1,[47181],[0.0035158],0.0035158
129,1,[41904],[0.0001],0.0001
130,1,[37188],[0.01],0.01
131,1,[18667],[1.278972],1.278972
132,1,[43049],[0.007474],0.007474
133,1,[34055],[0.000611],0.000611
134,1,[34422],[3.4e-05],3.4e-05
135,1,[35030],[0.028782],0.028782
136,1,[20396],[1e-06],1e-06
137,1,[17427],[0.0321],0.0321
138,1,[16955],[1.276e-05],1.276e-05
139,1,[36639],[0.000603],0.000603
140,1,[48157],[0.028782],0.028782
141,1,[17658],[0.0009568],0.0009568
142,1,[23292],[0.00642],0.00642
143,1,[40769],[0.00112],0.00112
144,1,[18702],[0.3],0.3
145,1,[17678],[0.0009568],0.0009568
146,1,[1207],[0.1815],0.1815
147,1,[34039],[0.06],0.06
148,1,[17186],[0.39698326],0.39698326
149,1,[19023],[0.0009568],0.0009568
150,1,[17302],[0.01153],0.01153
151,1,[17154],[0.00015121],0.00015121
152,1,[40758],[8e-06],8e-06
153,1,[18367],[0.00642],0.00642
154,1,[43757],[0.001125],0.001125
155,1,[34735],[0.001125],0.001125
156,1,[22310],[0.00052922],0.00052922
157,1,[22356],[0.00056],0.00056
158,1,[37266],[0.0035606],0.0035606
159,1,[17257],[0.001125],0.001125
160,1,[17128],[0.00035347],0.00035347
161,1,[18480],[0.0009323],0.0009323
162,1,[17186],[0.39698326],0.39698326
163,1,[36022],[0.06],0.06
164,1,[33562],[0.006755],0.006755
165,1,[34324],[0.00108],0.00108
166,1,[18535],[0.006904],0.006904
167,1,[19250],[1.99605],1.99605
168,1,[40445],[0.061],0.061
169,1,[35258],[0.005242],0.005242
170,1,[47259],[0.003772],0.003772
171,1,[37482],[5e-06],5e-06
172,1,[17704],[0.0009568],0.0009568
173,1,[17165],[0.0009568],0.0009568
174,1,[48252],[0.0001],0.0001
175,1,[47949],[0.000504],0.000504
176,1,[17474],[0.00712],0.00712
177,1,[23343],[0.0009568],0.0009568
178,1,[47659],[0.001],0.001
179,1,[34816],[0.000792],0.000792
180,1,[34425],[0.0009958],0.0009958
181,1,[34111],[0.006222],0.006222
182,1,[32277],[0.0009568],0.0009568
183,1,[37118],[0.00094812],0.00094812
184,1,[34116],[0.001125],0.001125
185,1,[50830],[0.0001],0.0001
186,1,[41246],[0.001],0.001
187,1,[34311],[0.1342],0.1342
188,1,[37583],[0.004511],0.004511
189,1,[46008],[0.03795953],0.03795953
190,1,[34068],[5.08e-06],5.08e-06
191,1,[20575],[0.3025],0.3025
192,1,[2556],[0.08],0.08
193,1,[38993],[0.001125],0.001125
194,1,[24324],[1.11],1.11
195,1,[18595],[0.001125],0.001125
196,1,[37049],[0.08764034],0.08764034
197,1,[17709],[0.00345244],0.00345244
198,1,[16955],[1.276e-05],1.276e-05
199,1,[41054],[0.0590337],0.0590337
200,1,[17435],[0.0001],0.0001
201,1,[47212],[0.001826],0.001826
202,1,[16077],[1.46259],1.46259
203,1,[47340],[0.0321],0.0321
204,1,[17422],[0.000646],0.000646
205,1,[35463],[0.0006731],0.0006731
206,1,[39250],[0.3885],0.3885
207,1,[17387],[0.0001],0.0001
208,1,[24466],[0.3],0.3
209,1,[41903],[0.0483],0.0483
210,1,[35399],[0.000601],0.000601
211,1,[17193],[0.9363],0.9363
212,1,[24371],[0.001],0.001
213,1,[18144],[0.00105],0.00105
214,1,[29863],[0.001],0.001
215,1,[34579],[0.020912],0.020912
216,1,[23947],[0.00345244],0.00345244
217,1,[18037],[0.000852],0.000852
218,1,[17223],[0.00053854],0.00053854
219,1,[34324],[0.00108],0.00108
220,1,[48218],[0.655312],0.655312
221,1,[2453],[0.27],0.27
222,1,[37189],[0.00084832],0.00084832
223,1,[20457],[0.10494707],0.10494707
224,1,[41591],[0.56],0.56
225,3,"[35401, 41915, 16983]","[0.001, 0.001841, 0.031977]",0.034818
226,1,[17144],[0.00037816],0.00037816
227,1,[17808],[0.103],0.103
228,1,[17431],[0.001826],0.001826
