,Depot,Cliente_1,Cliente_2,Cliente_3,Cliente_4,Cliente_5,Cliente_6,Cliente_7,Cliente_8,Cliente_9,Cliente_10,Cliente_11,Cliente_12,Cliente_13,Cliente_14,Cliente_15,Cliente_16,Cliente_17,Cliente_18,Cliente_19,Cliente_20,Cliente_21,Cliente_22,Cliente_23,Cliente_24,Cliente_25,Cliente_26,Cliente_27,Cliente_28,Cliente_29,Cliente_30,Cliente_31,Cliente_32,Cliente_33,Cliente_34,Cliente_35,Cliente_36,Cliente_37,Cliente_38,Cliente_39,Cliente_40,Cliente_41,Cliente_42,Cliente_43,Cliente_44,Cliente_45,Cliente_46,Cliente_47,Cliente_48,Cliente_49,Cliente_50,Cliente_51,Cliente_52,Cliente_53,Cliente_54,Cliente_55,Cliente_56,Cliente_57,Cliente_58,Cliente_59,Cliente_60,Cliente_61,Cliente_62,Cliente_63,Cliente_64,Cliente_65,Cliente_66,Cliente_67,Cliente_68,Cliente_69,Cliente_70,Cliente_71,Cliente_72,Cliente_73,Cliente_74,Cliente_75,Cliente_76,Cliente_77,Cliente_78,Cliente_79,Cliente_80,Cliente_81,Cliente_82,Cliente_83,Cliente_84,Cliente_85,Cliente_86,Cliente_87,Cliente_88,Cliente_89,Cliente_90,Cliente_91,Cliente_92,Cliente_93,Cliente_94,Cliente_95,Cliente_96,Cliente_97,Cliente_98,Cliente_99,Cliente_100,Cliente_101,Cliente_102,Cliente_103,Cliente_104,Cliente_105,Cliente_106,Cliente_107,Cliente_108,Cliente_109,Cliente_110,Cliente_111,Cliente_112,Cliente_113,Cliente_114,Cliente_115,Cliente_116,Cliente_117,Cliente_118,Cliente_119,Cliente_120,Cliente_121,Cliente_122,Cliente_123,Cliente_124,Cliente_125,Cliente_126,Cliente_127,Cliente_128,Cliente_129,Cliente_130,Cliente_131,Cliente_132,Cliente_133,Cliente_134,Cliente_135,Cliente_136,Cliente_137,Cliente_138,Cliente_139,Cliente_140,Cliente_141,Cliente_142,Cliente_143,Cliente_144,Cliente_145,Cliente_146,Cliente_147,Cliente_148,Cliente_149
Depot,0,11,23,12,17,6,12,14,32,43,28,5,8,29,12,17,11,32,5,28,12,21,24,53,26,7,35,24,22,13,11,7,16,6,27,29,6,36,14,36,22,8,7,28,9,22,38,33,28,12,12,26,10,33,21,25,4,17,12,5,20,22,12,18,38,26,4,20,21,30,32,12,18,16,21,7,32,6,29,48,38,29,30,14,27,13,38,40,27,18,12,36,12,16,11,10,13,46,7,9,12,4,12,11,24,23,26,41,38,15,38,23,11,36,6,29,18,24,8,7,36,38,27,12,17,46,12,7,28,13,42,8,16,14,17,9,12,12,17,11,9,20,9,13,22,20,28,20,23,13
Cliente_1,11,0,22,18,17,12,9,15,34,44,29,11,9,28,9,18,7,33,12,29,10,21,26,54,25,14,36,20,20,11,8,14,17,10,25,30,13,37,14,35,18,8,10,29,16,20,37,34,29,9,9,24,11,34,21,21,10,17,19,11,20,23,9,24,36,27,9,19,22,28,34,9,16,15,21,14,30,7,30,50,37,30,31,16,26,7,37,41,26,17,13,35,14,17,9,12,7,47,8,13,9,10,9,12,26,22,27,42,39,16,36,21,8,37,9,23,20,25,8,14,37,37,33,9,17,48,6,14,29,6,43,9,11,4,17,15,13,9,17,0,9,20,10,6,23,19,26,19,19,7
Cliente_2,24,22,0,24,10,26,20,16,15,24,24,24,23,10,20,24,20,15,25,24,20,9,13,39,12,25,16,12,7,20,23,24,18,23,5,10,26,18,21,15,8,23,25,20,26,7,17,17,21,21,20,6,21,15,8,14,24,9,26,24,10,12,22,36,16,15,21,10,11,8,16,20,8,14,9,25,46,22,10,35,17,19,13,12,6,23,17,21,8,9,22,16,16,12,22,19,21,32,22,23,20,24,20,20,19,6,21,27,20,14,16,5,23,18,25,22,13,19,23,26,18,17,46,20,12,33,20,22,21,19,23,24,23,20,9,28,19,20,10,22,24,7,19,22,14,8,7,9,9,24
Cliente_3,11,19,24,0,18,8,19,15,33,44,29,10,16,30,19,12,19,33,10,29,20,22,25,54,26,9,36,25,23,21,19,5,15,13,28,30,8,37,13,37,23,16,10,28,7,23,39,34,28,19,19,26,16,34,22,26,10,18,3,10,21,23,20,18,39,27,12,20,22,31,33,19,19,18,22,9,40,13,30,50,39,30,30,16,28,21,39,41,28,19,14,37,14,17,19,13,21,47,15,11,19,10,19,14,25,24,27,42,38,16,39,24,19,37,13,30,19,25,13,8,37,39,28,19,18,47,20,7,29,21,43,16,24,22,18,11,14,19,18,19,15,21,13,21,23,21,29,20,24,21
Cliente_4,19,18,8,19,0,21,17,11,15,26,17,20,19,12,17,19,16,15,20,17,16,4,10,35,8,20,18,9,8,16,19,19,12,18,11,15,21,19,16,21,5,19,20,17,21,8,22,16,17,18,17,11,16,16,4,11,19,7,21,20,2,6,18,32,22,12,16,2,6,14,15,17,6,10,4,20,42,18,14,31,22,16,13,8,12,19,22,23,13,6,17,19,11,8,20,15,18,29,18,18,17,19,17,16,14,9,15,23,20,9,22,7,19,19,20,19,8,13,18,22,19,22,41,17,8,29,16,17,17,16,25,19,19,17,7,23,15,17,0,18,19,3,14,18,11,6,12,2,7,20
Cliente_5,6,14,25,10,20,0,15,16,35,45,30,8,10,31,15,16,14,34,5,30,14,24,27,55,28,9,38,26,24,16,14,5,17,9,29,32,4,38,15,39,24,10,5,30,8,24,40,36,30,14,15,28,12,35,23,28,5,20,11,8,22,24,14,17,40,29,7,22,23,32,35,15,21,18,24,9,35,8,31,51,40,31,32,17,29,15,40,42,30,21,14,38,15,18,14,13,15,48,9,11,15,6,15,13,27,26,29,43,40,18,40,25,14,38,8,31,21,26,8,5,38,40,26,15,19,49,14,8,30,16,44,10,18,17,19,8,14,15,20,14,10,23,12,16,24,22,30,22,25,16
Cliente_6,14,12,17,19,13,16,0,9,28,38,25,15,8,24,0,20,10,27,15,24,8,17,20,48,21,17,30,13,15,7,12,17,18,14,20,24,16,31,13,30,11,7,15,24,19,15,32,28,24,5,0,19,6,28,16,15,14,11,21,15,16,17,7,28,32,22,12,16,16,24,28,0,12,6,17,17,37,12,24,44,32,28,25,11,21,15,32,35,21,13,11,31,10,10,6,8,11,41,12,14,0,14,0,8,21,17,23,36,33,9,32,17,12,31,14,19,15,21,13,17,31,32,37,0,9,42,10,17,24,12,37,9,14,12,11,18,8,0,13,12,14,16,10,11,18,14,22,16,13,13
Cliente_7,15,16,16,15,10,16,10,0,25,36,21,15,14,22,10,16,18,25,16,20,15,14,17,46,19,16,28,17,15,15,17,15,12,14,20,22,17,29,13,29,15,13,16,20,17,15,31,26,20,10,10,19,8,26,14,18,15,10,17,15,13,14,15,28,31,19,13,12,14,23,26,10,11,9,14,16,38,13,22,42,31,21,22,7,20,18,31,33,20,11,12,29,4,7,13,8,18,39,14,15,10,15,10,9,17,16,19,34,30,5,31,16,17,29,16,22,11,17,14,18,29,31,37,10,8,39,18,13,20,18,35,14,22,20,9,19,5,10,10,16,15,13,10,19,14,13,21,12,16,19
Cliente_8,33,34,18,33,18,35,30,25,0,16,15,33,32,10,30,33,31,3,34,11,28,18,14,26,12,34,5,26,20,29,33,33,26,32,14,7,35,6,30,10,22,32,34,10,35,20,19,3,8,31,30,17,30,6,21,27,33,22,35,33,17,17,31,45,13,11,30,17,16,14,2,30,21,23,18,34,48,31,7,22,19,8,8,21,14,35,19,10,16,22,30,6,25,21,32,28,32,20,32,32,30,33,30,30,14,20,12,14,8,23,13,17,33,6,34,29,17,13,32,36,6,19,54,30,21,20,31,31,12,31,16,33,35,33,22,37,28,30,18,34,33,20,28,32,16,21,13,17,24,34
Cliente_9,43,35,26,42,29,45,33,34,17,0,28,44,37,22,33,43,32,18,44,24,35,30,27,26,25,43,14,24,26,33,35,42,39,42,20,20,45,13,39,15,24,37,42,23,44,26,21,16,20,34,33,22,34,16,29,22,43,30,44,44,30,30,36,56,11,24,41,31,29,18,18,33,29,31,30,43,37,39,19,22,21,22,22,31,21,35,21,15,20,30,40,13,34,34,37,36,34,20,40,41,33,43,33,36,25,25,20,2,15,33,12,26,35,15,42,17,29,25,40,46,13,21,66,33,31,20,33,41,26,32,3,37,35,33,30,47,35,33,29,35,41,28,37,34,29,27,24,31,24,37
