,Client_ID,Numero_de_Productos_Ordenados,ID,Lista_de_Volumenes_de_Productos,Volumen_Total
0,799186,1,[17155],[0.001],0.001
1,717106,1,[11175],[8.75e-06],8.75e-06
2,468125,1,[17240],[0.7637],0.7637
3,176490,1,[18143],[0.0009568],0.0009568
4,674550,1,[23602],[0.006893],0.006893
5,541537,1,[20190],[0.461433],0.461433
6,701518,4,"[2306, 4129, 23248, 17481]","[0.00345244, 0.001125, 0.0018891, 0.163511]",0.16997753999999998
7,140464,1,[23913],[0.48],0.48
8,733300,1,[16923],[0.001125],0.001125
9,776365,1,[38281],[0.384],0.384
10,363898,1,[17669],[0.00037816],0.00037816
11,723557,1,[29863],[0.001],0.001
12,244495,2,"[12950, 16920]","[0.031952, 0.001125]",0.033077
13,720194,1,[17512],[0.000611],0.000611
14,626400,1,[34380],[0.0007308],0.0007308
15,320393,1,[18144],[0.00105],0.00105
16,699214,1,[16964],[0.003434],0.003434
17,730593,1,[17093],[0.0009958],0.0009958
18,776279,1,[17387],[0.0001],0.0001
19,260402,1,[37645],[0.006222],0.006222
20,757076,1,[34299],[0.0009568],0.0009568
21,260874,1,[67],[0.002159],0.002159
22,324587,1,[1660],[0.077204],0.077204
23,318384,1,[1970],[0.116989],0.116989
24,511357,1,[35108],[0.0001],0.0001
25,780771,2,"[47004, 35297]","[0.0009568, 0.00430529]",0.00526209
26,743446,1,[39597],[0.0009568],0.0009568
27,926318,1,[48022],[0.39166253],0.39166253
28,711742,1,[37583],[0.004511],0.004511
29,715720,1,[34280],[0.30705],0.30705
30,735173,1,[47659],[0.001],0.001
31,580710,1,[34484],[0.0194],0.0194
32,540973,1,[16920],[0.001125],0.001125
33,328297,1,[39599],[0.0035606],0.0035606
34,737304,1,[47287],[0.001],0.001
35,746624,1,[34068],[5.08e-06],5.08e-06
36,726064,1,[41789],[0.22019],0.22019
37,744575,1,[16983],[0.031977],0.031977
38,580779,1,[34069],[0.009683],0.009683
39,711134,1,[35622],[0.0009568],0.0009568
40,467663,1,[27567],[0.0053929],0.0053929
41,832562,1,[17387],[0.0001],0.0001
42,829767,1,[34090],[0.013735],0.013735
43,177894,1,[47948],[0.4177379],0.4177379
44,647343,1,[20641],[0.000525],0.000525
45,140054,1,[36065],[0.0070502],0.0070502
46,321971,1,[45149],[0.00371],0.00371
47,336654,1,[16974],[0.00093183],0.00093183
48,541502,1,[34069],[0.009683],0.009683
49,807132,1,[34387],[0.00434296],0.00434296
50,734695,1,[37158],[0.0009568],0.0009568
51,641876,1,[46977],[0.06],0.06
52,125806,1,[41643],[0.0768],0.0768
53,513895,1,[2867],[0.00054],0.00054
54,326696,1,[37490],[0.001125],0.001125
55,544034,1,[30215],[0.285304],0.285304
56,785166,1,[23290],[0.526842],0.526842
57,829219,2,"[26962, 17796]","[0.008536, 0.001252]",0.009788
58,619310,1,[35298],[0.006],0.006
59,663228,1,[18753],[0.0053929],0.0053929
60,781274,1,[17449],[0.0009568],0.0009568
61,710134,1,[27566],[0.00642],0.00642
62,317893,1,[9502],[0.001125],0.001125
63,646518,1,[48022],[0.39166253],0.39166253
64,794531,1,[36041],[0.00061164],0.00061164
65,792184,1,[17717],[0.055],0.055
